STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1221601 10/07/23 12   59.3  -0.3  31.6
1221601 10/07/23 09   59.6  -0.3  22.7
1221601 10/07/23 06   59.9   0.1  14.2
1221601 10/07/23 03   59.8   0.1  15.4
1221601 10/07/23 00   59.7   0.3  18.7
1221601 09/07/23 21   59.4   0.8  28.2
1221601 09/07/23 18   58.6  -0.6  35.2
1221601 09/07/23 15   59.2   0.0  34.2
1221601 09/07/23 12   59.2  -0.4  32.9
1221601 09/07/23 09   59.6  -0.6  22.0
1221601 09/07/23 06   60.2   0.2  10.4
1221601 09/07/23 03   60.0   0.0  12.2
1221601 09/07/23 00   60.0   0.2  16.0
1221601 08/07/23 21   59.8   0.8  26.4
1221601 08/07/23 18   59.0  -0.1  33.2
1221601 08/07/23 15   59.1   0.1  32.9
1221601 08/07/23 12   59.0  -0.3  30.7
1221601 08/07/23 09   59.3  -1.0  20.7
1221601 08/07/23 06   60.3   0.1   9.6
1221601 08/07/23 03   60.2   0.1  12.0
1221601 08/07/23 00   60.1   0.3  16.9
1221601 07/07/23 21   59.8   0.8  24.0
1221601 07/07/23 18   59.0   0.3  30.7
1221601 07/07/23 15   58.7  -0.5  30.0
1221601 07/07/23 12   59.2  -0.4  27.6
1221601 07/07/23 09   59.6  -0.8  18.2
1221601 07/07/23 06   60.4   0.2   7.2
1221601 07/07/23 03   60.2   0.0   8.7
1221601 07/07/23 00   60.2   0.3  10.9
1221601 06/07/23 21   59.9   0.9  21.6
1221601 06/07/23 18   59.0  -0.5  26.2
1221601 06/07/23 15   59.5  -0.3  24.0
1221601 06/07/23 12   59.8   0.0  22.4
1221601 06/07/23 09   59.8  -0.9  16.4
1221601 06/07/23 06   60.7   0.1   7.4
1221601 06/07/23 03   60.6   0.2   7.4
1221601 06/07/23 00   60.4   0.0  12.9
1221601 05/07/23 21   60.4   0.5  19.6
1221601 05/07/23 18   59.9  -0.3  24.2
1221601 05/07/23 15   60.2   0.3  18.4
1221601 05/07/23 12   59.9   0.3  23.4
1221601 05/07/23 09   59.6  -0.6  19.6
1221601 05/07/23 06   60.2   0.0   9.4
1221601 05/07/23 03   60.2   0.2  11.4
1221601 05/07/23 00   60.0   0.1  14.9
1221601 04/07/23 21   59.9   0.9  22.0
1221601 04/07/23 18   59.0   0.0  26.9
1221601 04/07/23 15   59.0  -0.6  26.9
1221601 04/07/23 12   59.6  -0.2  23.4
1221601 04/07/23 09   59.8  -0.4  18.9
1221601 04/07/23 06   60.2   0.2   8.7
1221601 04/07/23 03   60.0   0.2  11.2
1221601 04/07/23 00   59.8   0.0  12.2
1221601 03/07/23 21   59.8   0.5  20.2
1221601 03/07/23 18   59.3   0.1  24.9
1221601 03/07/23 15   59.2   0.0  25.2
1221601 03/07/23 12   59.2  -0.3  23.4
1221601 03/07/23 09   59.5  -0.6  18.4
1221601 03/07/23 06   60.1   0.1  10.4
1221601 03/07/23 03   60.0   0.1   8.7
1221601 03/07/23 00   59.9   0.3  12.0
1221601 02/07/23 21   59.6   0.4  20.4
1221601 02/07/23 18   59.2  -0.2  23.4
1221601 02/07/23 15   59.4   0.1  22.2
1221601 02/07/23 12   59.3  -0.3  22.9
1221601 02/07/23 09   59.6  -0.4  18.9
1221601 02/07/23 06   60.0   0.1  16.7
1221601 02/07/23 03   59.9  -0.1  17.2
1221601 02/07/23 00   60.0   0.2  18.7
1221601 01/07/23 21   59.8   0.4  21.6
1221601 01/07/23 18   59.4  -0.3  26.0
1221601 01/07/23 15   59.7  -0.3  24.4
1221601 01/07/23 12   60.0  -0.3  22.7
1221601 01/07/23 09   60.3  -0.3  17.4
1221601 01/07/23 06   60.6   0.0  12.4
1221601 01/07/23 03   60.6   0.0  16.0
1221601 01/07/23 00   60.6   0.0  16.9
1221601 30/06/23 21   60.6   0.0  18.2
1221601 30/06/23 18   60.6   0.6  18.4
1221601 30/06/23 15   60.0  -0.1  26.0
1221601 30/06/23 12   60.1  -0.3  22.4
1221601 30/06/23 09   60.4  -0.1  18.0
1221601 30/06/23 06   60.5   0.1  15.4
1221601 30/06/23 03   60.4  -0.1  15.2
1221601 30/06/23 00   60.5   0.1  15.6
1221601 29/06/23 21   60.4   0.6  23.6
1221601 29/06/23 18   59.8   0.0  28.7
1221601 29/06/23 15   59.8  -0.4  28.2
1221601 29/06/23 12   60.2  -0.4  25.6
1221601 29/06/23 09   60.6  -0.4  16.9
1221601 29/06/23 06   61.0   0.1   6.0
1221601 29/06/23 03   60.9   0.1   6.9
1221601 29/06/23 00   60.8   0.2  10.4
1221601 28/06/23 21   60.6   0.4  20.4
1221601 28/06/23 18   60.2  -0.4  26.0
1221601 28/06/23 15   60.6  -0.1  23.4
1221601 28/06/23 12   60.7  -0.3  20.2
1221601 28/06/23 09   61.0  -0.4  16.4
1221601 28/06/23 06   61.4   0.2   8.7
1221601 28/06/23 03   61.2   0.2  11.4
1221601 28/06/23 00   61.0   0.0  13.6
