STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1236505 07/06/22 15   25.9  -0.1  21.6
1236505 07/06/22 12   26.0   0.4  19.2
1236505 07/06/22 09   25.6   0.5  15.0
1236505 07/06/22 06   25.1  -0.3  14.9
1236505 07/06/22 03   25.4  -0.2  16.1
1236505 07/06/22 00   25.6  -0.1  17.2
1236505 06/06/22 21   25.7   0.5  20.0
1236505 06/06/22 18   25.2  -0.2  24.4
1236505 06/06/22 15   25.4   0.0  27.9
1236505 06/06/22 12   25.4  -0.1  23.6
1236505 06/06/22 09   25.5   0.4  18.9
1236505 06/06/22 06   25.1  -0.2  15.3
1236505 06/06/22 03   25.3   0.0  16.7
1236505 06/06/22 00   25.3   0.2  18.2
1236505 05/06/22 21   25.1   0.6  21.0
1236505 05/06/22 18   24.5   0.1  23.7
1236505 05/06/22 15   24.4   0.0  24.8
1236505 05/06/22 12   24.4  -0.1  20.9
1236505 05/06/22 09   24.5   0.3  18.7
1236505 05/06/22 06   24.2  -0.3  10.0
1236505 05/06/22 03   24.5  -0.2  12.1
1236505 05/06/22 00   24.7   0.0  14.5
1236505 04/06/22 21   24.7   0.2  18.9
1236505 04/06/22 18   24.5   0.4  19.8
1236505 04/06/22 15   24.1   0.8  27.5
1236505 04/06/22 12   23.3   0.4  25.2
1236505 04/06/22 09   22.9   0.5  16.8
1236505 04/06/22 06   22.4  -0.3  15.6
1236505 04/06/22 03   22.7  -0.3  16.4
1236505 04/06/22 00   23.0   0.3  17.6
1236505 03/06/22 21   22.7   1.0  23.0
1236505 03/06/22 18   21.7   0.2  29.2
1236505 03/06/22 15   21.5  -0.2  29.3
1236505 03/06/22 12   21.7  -0.1  25.8
1236505 03/06/22 09   21.8   0.2  17.5
1236505 03/06/22 06   21.6  -0.2   6.4
1236505 03/06/22 03   21.8  -0.1   8.5
1236505 03/06/22 00   21.9  -0.1  11.6
1236505 02/06/22 21   22.0   0.3  18.0
1236505 02/06/22 18   21.7   0.3  25.5
1236505 02/06/22 15   21.4  -0.4  26.8
1236505 02/06/22 12   21.8   0.3  25.0
1236505 02/06/22 09   21.5   0.1  14.8
1236505 02/06/22 06   21.4  -0.2   6.8
1236505 02/06/22 03   21.6  -0.2   8.8
1236505 02/06/22 00   21.8   0.0  11.8
1236505 01/06/22 21   21.8   0.0  18.7
1236505 01/06/22 18   21.8  -0.5  23.4
1236505 01/06/22 15   22.3   0.3  22.1
1236505 01/06/22 12   22.0   1.3  20.5
1236505 01/06/22 09   20.7   0.3  14.7
1236505 01/06/22 06   20.4  -0.1   8.1
1236505 01/06/22 03   20.5  -0.2   8.7
1236505 01/06/22 00   20.7  -0.2  11.8
1236505 31/05/22 21   20.9   0.5  14.3
1236505 31/05/22 18   20.4   0.3  22.1
1236505 31/05/22 15   20.1  -0.3  22.6
1236505 31/05/22 12   20.4  -0.1  22.0
1236505 31/05/22 09   20.5   0.4  11.7
1236505 31/05/22 06   20.1  -0.1   3.8
1236505 31/05/22 03   20.2  -0.1   5.2
1236505 31/05/22 00   20.3  -0.2   7.8
1236505 30/05/22 21   20.5  -0.1  13.0
1236505 30/05/22 18   20.6   0.2  17.6
1236505 30/05/22 15   20.4   0.7  20.9
1236505 30/05/22 12   19.7  -0.3  18.5
1236505 30/05/22 09   20.0   0.5  10.1
1236505 30/05/22 06   19.5  -0.1   4.1
1236505 30/05/22 03   19.6  -0.1   7.3
1236505 30/05/22 00   19.7  -0.1   9.2
1236505 29/05/22 21   19.8   0.1  10.4
1236505 29/05/22 18   19.7   0.5  18.2
1236505 29/05/22 15   19.2   0.0  20.2
1236505 29/05/22 12   19.2  -0.3  18.0
1236505 29/05/22 09   19.5   0.1   8.4
1236505 29/05/22 06   19.4  -0.1   4.4
1236505 29/05/22 03   19.5   0.0   6.0
1236505 29/05/22 00   19.5  -0.1   8.4
1236505 28/05/22 21   19.6   0.1  12.9
1236505 28/05/22 18   19.5   0.3  17.6
1236505 28/05/22 15   19.2   0.3  18.0
1236505 28/05/22 12   18.9  -0.8  16.1
1236505 28/05/22 09   19.7   0.4  11.6
1236505 28/05/22 06   19.3  -0.1   6.4
1236505 28/05/22 03   19.4  -0.1   7.2
1236505 28/05/22 00   19.5  -0.1   9.6
1236505 27/05/22 21   19.6   0.2  14.0
1236505 27/05/22 18   19.4  -0.6  15.0
1236505 27/05/22 15   20.0   0.3  14.7
1236505 27/05/22 12   19.7   0.2  15.2
1236505 27/05/22 09   19.5   0.3  15.4
1236505 27/05/22 06   19.2  -0.2  11.3
1236505 27/05/22 03   19.4  -0.1  14.2
1236505 27/05/22 00   19.5   0.0  14.9
1236505 26/05/22 21   19.5   0.0  16.7
1236505 26/05/22 18   19.5   0.1  19.1
1236505 26/05/22 15   19.4  -0.1  19.2
1236505 26/05/22 12   19.5   0.1  18.1
1236505 26/05/22 09   19.4   0.0  16.0
1236505 26/05/22 06   19.4  -0.2   9.2
1236505 26/05/22 03   19.6  -0.1   9.7
1236505 26/05/22 00   19.7  -0.1  12.6
1236505 25/05/22 21   19.8   0.1  16.4
1236505 25/05/22 18   19.7   0.3  21.1
1236505 25/05/22 15   19.4   0.1  22.4
1236505 25/05/22 12   19.3   0.1  13.5
1236505 25/05/22 09   19.2   0.1  11.9
1236505 25/05/22 06   19.1  -0.2  10.4
1236505 25/05/22 03   19.3  -0.1  11.6
1236505 25/05/22 00   19.4   0.0  13.8
1236505 24/05/22 21   19.4   0.3  17.5
1236505 24/05/22 18   19.1  -0.2  22.2
1236505 24/05/22 15   19.3   0.1  18.6
1236505 24/05/22 12   19.2   0.1  19.4
1236505 24/05/22 09   19.1   0.5  18.7
1236505 24/05/22 06   18.6  -0.1  15.6
1236505 24/05/22 03   18.7  -0.2  16.9
1236505 24/05/22 00   18.9   0.3  16.1
1236505 23/05/22 21   18.6   0.6  19.5
1236505 23/05/22 18   18.0   0.0  24.4
1236505 23/05/22 15   18.0   0.0  25.6
1236505 23/05/22 12   18.0  -0.2  21.2
1236505 23/05/22 09   18.2   0.0  12.8
1236505 23/05/22 06   18.2  -0.1   7.2
